stop_id,stop_name,stop_lat,stop_lon,M1,M10,M100,M101,M102,M103,M104,M106,M11,M116,M12,M15,M2,M20,M21,M22,M3,M31,M35,M4,M42,M5,M50,M55,M57,M66,M7,M72,M8,M86,M9,M96,M98
400001,4 AV/E 10 ST,40.731342,-73.990292,8309479623,,,,,,,,,,,,8309479623,,,,8309479623,,,,,,,,,,,,,,,,
400002,4 AV/E 12 ST,40.732608,-73.989958,8309479658,,,,,,,,,,,,8309479658,,,,8309479658,,,,,,,,,,,,,,,,
400003,4 AV/E 13 ST,40.733936,-73.98972,8309479693,,,,,,,,,,,,8309479693,,,,8309479693,,,,,,,,,,,,,,,,
400007,PARK AV S/E 21 ST,40.738976,-73.987053,42453310,,,,,,,,,,,,42453310,,,,42453310,,,,,,,,,,,,,,,,
400026,MADISON AV/E 63 ST,40.766274,-73.969329,,,,,,,,,,,,,42429971,,,,42429971,,,42429971,,,,,,,,,,,,,
400027,MADISON AV/E 65 ST,40.76758,-73.968375,,,,,,,,,,,,,,,,,,,,,,,,,,42437425,42430394,42447228,,,,,
400028,MADISON AV/E 67 ST,40.768812,-73.967483,42437425,,,,,,,,,,,,42437425,,,,42437425,,,42437425,,,,,,,,,,,,,
400029,MADISON AV/E 69 ST,40.770075,-73.966558,42445994,,,,,,,,,,,,42445994,,,,42445994,,,42445994,,,,,,,42430394,7797632758,,,,,
400030,MADISON AV/E 72 ST,40.771802,-73.965308,4207313542,,,,,,,,,,,,4207313542,,,,4207313542,,,4207313542,,,,,,,,,,,,,
400031,MADISON AV/E 74 ST,40.772774,-73.96461,42439556,,,,,,,,,,,,42439556,,,,42439556,,,42439556,,,,,,,,,,,,,
400032,MADISON AV/E 77 ST,40.775322,-73.962739,42436913,,,,,,,,,,,,42436913,,,,42436913,,,42436913,,,,,,,,,,,,,
400033,MADISON AV/E 81 ST,40.777452,-73.961191,42446026,,,,,,,,,,,,42446026,,,,42446026,,,42446026,,,,,,,,,,,,,
400034,MADISON AV/E 83 ST,40.778793,-73.960206,42446031,,,,,,,,,,,,42446031,,,,42446031,,,42446031,,,,,,,,,,,,,
400036,MADISON AV/E 86 ST,40.781155,-73.958483,3392519870,,,,,,,,,,,,3392519870,,,,3392519870,,,3392519870,,,,,,,,,,,,,
400037,MADISON AV/E 89 ST,40.782676,-73.957373,5306314421,,,,,,,,,,,,5306314421,,,,5306314421,,,5306314421,,,,,,,,,,,,,
400038,MADISON AV/E 91 ST,40.78436,-73.956137,7093725099,,,,,,,,,,,,7093725099,,,,7093725099,,,7093725099,,,,,,,,,,,,,
400039,MADISON AV/E 93 ST,40.785636,-73.955205,7093620715,,,,,,,,,,,,7093620715,,,,7093620715,,,7093620715,,,,,,,,,,,,,
