stop_id,stop_name,stop_lat,stop_lon,M1,M10,M100,M101,M102,M103,M104,M106,M11,M116,M12,M15,M191,M2,M20,M21,M22,M3,M31,M35,M4,M42,M5,M50,M55,M57,M66,M7,M72,M8,M9,M96
400001,4 AV/E 10 ST,40.731342,-73.990292,POINT (-73.99037 40.73135299999986),,,,,,,,,,,,,POINT (-73.99037 40.73135299999986),,,,POINT (-73.99037 40.73135299999986),,,,,,,,,,,,,,
400002,4 AV/E 12 ST,40.732608,-73.989958,POINT (-73.990059 40.73262099999981),,,,,,,,,,,,,POINT (-73.990059 40.73262099999981),,,,POINT (-73.990059 40.73262099999981),,,,,,,,,,,,,,
400003,4 AV/E 13 ST,40.733936,-73.98972,POINT (-73.98985 40.73393799999985),,,,,,,,,,,,,POINT (-73.98985 40.73393799999985),,,,POINT (-73.98985 40.73393799999985),,,,,,,,,,,,,,
400007,PARK AV S/E 21 ST,40.738976,-73.987053,POINT (-73.987138 40.73901099999984),,,,,,,,,,,,,POINT (-73.987138 40.73901099999984),,,,POINT (-73.987138 40.73901099999984),,,,,,,,,,,,,,
400026,MADISON AV/E 63 ST,40.766274,-73.969329,,,,,,,,,,,,,,POINT (-73.96941600000001 40.76630999999982),,,,POINT (-73.96941600000001 40.76630999999982),,,POINT (-73.96941600000001 40.76630999999982),,,,,,,,,,,
400027,MADISON AV/E 65 ST,40.76758,-73.968375,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-73.968464 40.76761799999984),,POINT (-73.968464 40.76761799999984),,,
400028,MADISON AV/E 67 ST,40.768812,-73.967483,POINT (-73.967569 40.76884899999985),,,,,,,,,,,,,POINT (-73.967569 40.76884899999985),,,,POINT (-73.967569 40.76884899999985),,,POINT (-73.967569 40.76884899999985),,,,,,,,,,,
400029,MADISON AV/E 69 ST,40.770075,-73.966558,POINT (-73.96664799999999 40.77011299999985),,,,,,,,,,,,,POINT (-73.96664799999999 40.77011299999985),,,,POINT (-73.96664799999999 40.77011299999985),,,POINT (-73.96664799999999 40.77011299999985),,,,,,,,POINT (-73.96664799999999 40.77011299999985),,,
400030,MADISON AV/E 72 ST,40.771802,-73.965308,POINT (-73.965383 40.77183399999985),,,,,,,,,,,,,POINT (-73.965383 40.77183399999985),,,,POINT (-73.965383 40.77183399999985),,,POINT (-73.965383 40.77183399999985),,,,,,,,,,,
400031,MADISON AV/E 74 ST,40.772774,-73.96461,POINT (-73.96467700000001 40.77280199999984),,,,,,,,,,,,,POINT (-73.96467700000001 40.77280199999984),,,,POINT (-73.96467700000001 40.77280199999984),,,POINT (-73.96467700000001 40.77280199999984),,,,,,,,,,,
400032,MADISON AV/E 77 ST,40.775322,-73.962739,POINT (-73.96282600000001 40.77535699999984),,,,,,,,,,,,,POINT (-73.96282600000001 40.77535699999984),,,,POINT (-73.96282600000001 40.77535699999984),,,POINT (-73.96282600000001 40.77535699999984),,,,,,,,,,,
400033,MADISON AV/E 81 ST,40.777452,-73.961191,POINT (-73.96127299999999 40.77748599999985),,,,,,,,,,,,,POINT (-73.96127299999999 40.77748599999985),,,,POINT (-73.96127299999999 40.77748599999985),,,POINT (-73.96127299999999 40.77748599999985),,,,,,,,,,,
400034,MADISON AV/E 83 ST,40.778793,-73.960206,POINT (-73.96029200000001 40.77882799999983),,,,,,,,,,,,,POINT (-73.96029200000001 40.77882799999983),,,,POINT (-73.96029200000001 40.77882799999983),,,POINT (-73.96029200000001 40.77882799999983),,,,,,,,,,,
400036,MADISON AV/E 86 ST,40.781155,-73.958483,POINT (-73.958562 40.78118899999983),,,,,,,,,,,,,POINT (-73.958562 40.78118899999983),,,,POINT (-73.958562 40.78118899999983),,,POINT (-73.958562 40.78118899999983),,,,,,,,,,,
400037,MADISON AV/E 89 ST,40.782676,-73.957373,POINT (-73.957452 40.78270899999983),,,,,,,,,,,,,POINT (-73.957452 40.78270899999983),,,,POINT (-73.957452 40.78270899999983),,,POINT (-73.957452 40.78270899999983),,,,,,,,,,,
400038,MADISON AV/E 91 ST,40.78436,-73.956137,POINT (-73.956225 40.78439799999983),,,,,,,,,,,,,POINT (-73.956225 40.78439799999983),,,,POINT (-73.956225 40.78439799999983),,,POINT (-73.956225 40.78439799999983),,,,,,,,,,,
400039,MADISON AV/E 93 ST,40.785636,-73.955205,POINT (-73.95529000000001 40.78567299999985),,,,,,,,,,,,,POINT (-73.95529000000001 40.78567299999985),,,,POINT (-73.95529000000001 40.78567299999985),,,POINT (-73.95529000000001 40.78567299999985),,,,,,,,,,,
400041,MADISON AV/E 98 ST,40.788413,-73.95318,POINT (-73.95326300000001 40.78844899999985),,,,,,,POINT (-73.95326300000001 40.78844899999985),,,,,,POINT (-73.95326300000001 40.78844899999985),,,,POINT (-73.95326300000001 40.78844899999985),,,POINT (-73.95326300000001 40.78844899999985),,,,,,,,,,,
400042,MADISON AV/E 101 ST,40.790304,-73.951799,POINT (-73.95189000000001 40.79034199999984),,,,,,,POINT (-73.95189000000001 40.79034199999984),,,,,,POINT (-73.95189000000001 40.79034199999984),,,,POINT (-73.95189000000001 40.79034199999984),,,POINT (-73.95189000000001 40.79034199999984),,,,,,,,,,,
400043,MADISON AV/E 102 ST,40.791371,-73.951022,POINT (-73.951109 40.79140699999984),,,,,,,POINT (-73.951109 40.79140699999984),,,,,,POINT (-73.951109 40.79140699999984),,,,POINT (-73.951109 40.79140699999984),,,POINT (-73.951109 40.79140699999984),,,,,,,,,,,
400044,MADISON AV/E 104 ST,40.792159,-73.950447,POINT (-73.95053 40.79219299999983),,,,,,,POINT (-73.95053 40.79219299999983),,,,,,POINT (-73.95053 40.79219299999983),,,,POINT (-73.95053 40.79219299999983),,,POINT (-73.95053 40.79219299999983),,,,,,,,,,,
400045,MADISON AV/E 106 ST,40.793434,-73.949511,POINT (-73.949602 40.79347199999982),,,,,,,POINT (-73.949602 40.79347199999982),,,,,,POINT (-73.949602 40.79347199999982),,,,POINT (-73.949602 40.79347199999982),,,POINT (-73.949602 40.79347199999982),,,,,,,,,,,
400046,MADISON AV/E 107 ST,40.794551,-73.948694,POINT (-73.94878299999999 40.79458799999983),,,,,,,,,,,,,POINT (-73.94878299999999 40.79458799999983),,,,POINT (-73.94878299999999 40.79458799999983),,,POINT (-73.94878299999999 40.79458799999983),,,,,,,,,,,
400047,MADISON AV/E 109 ST,40.795813,-73.947779,POINT (-73.947866 40.79584999999984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400048,MADISON AV/E 112 ST,40.797494,-73.946553,POINT (-73.94663299999999 40.79752899999983),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400050,MADISON AV/E 116 ST,40.800405,-73.944495,POINT (-73.94452700000001 40.80041899999983),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400051,MADISON AV/E 118 ST,40.801507,-73.943618,POINT (-73.943699 40.80154099999984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400053,MADISON AV/E 123 ST,40.804777,-73.941328,POINT (-73.94138700000001 40.80480199999985),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400054,MADISON AV/E 125 ST,40.806015,-73.940348,POINT (-73.94040799999999 40.80603899999985),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400055,MADISON AV/E 127 ST,40.807247,-73.939459,POINT (-73.93951800000001 40.80727099999984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400056,MADISON AV/E 129 ST,40.808511,-73.938536,POINT (-73.93859499999999 40.80853599999984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400057,MADISON AV/E 132 ST,40.810426,-73.937108,POINT (-73.937209 40.81046599999983),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400059,5 AV/E 135 ST,40.813125,-73.937224,POINT (-73.93732200000001 40.81316599999984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400060,5 AV/E 138 ST,40.814463,-73.936251,POINT (-73.936351 40.81450399999984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400061,W 139 ST/5 AV,40.815616,-73.936283,POINT (-73.93632099999999 40.81556299999983),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400062,MALCOLM X BL/W 139 ST,40.81694,-73.938615,POINT (-73.938666 40.81696099999985),,,,POINT (-73.938666 40.81696099999985),,,,,,,,,,,,,,,,,,,,,,,POINT (-73.938666 40.81696099999985),,,,
400065,MALCOLM X BL/W 145 ST,40.82068,-73.935873,POINT (-73.93593199999999 40.82070399999984),,,,POINT (-73.93593199999999 40.82070399999984),,,,,,,,,,,,,,,,,,,,,,,POINT (-73.93593199999999 40.82070399999984),,,,
400066,W 147 ST/MALCOLM X BL,40.821952,-73.935729,POINT (-73.935749 40.82192599999983),,,,POINT (-73.935749 40.82192599999983),,,,,,,,,,,,,,,,,,,,,,,POINT (-73.935749 40.82192599999983),,,,
400067,W 147 ST/ADAM C POWELL BL,40.822853,-73.937867,POINT (-73.937887 40.82282499999983),,,,POINT (-73.937887 40.82282499999983),,,,,,,,,,,,,,,,,,,,,,,POINT (-73.937887 40.82282499999983),,,,
400069,GREENWICH ST/MORRIS ST,40.706025,-74.014308,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-74.014439 40.70608199999983),,,,,,,
400070,TRINITY PL/RECTOR ST,40.708007,-74.012714,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-74.0128 40.70802499999984),,,,,,,
400071,CHURCH ST/LIBERTY ST,40.710016,-74.011358,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-74.011439 40.70999199999984),,,,,,,
400081,CLEVELAND  PL/SPRING ST,40.722433,-73.997008,POINT (-73.99707100000001 40.72244499999984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400083,LAFAYETTE ST/E HOUSTON ST,40.72517,-73.995221,POINT (-73.995242 40.72517799999984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400085,LAFAYETTE ST/E 4 ST,40.728066,-73.992849,POINT (-73.992937 40.72810899999984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400086,LAFAYETTE ST/ASTOR PL,40.729751,-73.991427,POINT (-73.991497 40.72978499999984),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400087,W 146 ST/MALCOLM X BL,40.821178,-73.935956,,,,,POINT (-73.93594499999999 40.82119299999984),,,,,,,,,,,,,,,,,,,,,,,POINT (-73.93594499999999 40.82119299999984),,,,
400088,MALCOLM X BL/W 145 ST,40.820359,-73.93646,POINT (-73.936419 40.82031199999984),,,,POINT (-73.936419 40.82031199999984),,,,,,,,,,,,,,,,,,,,,,,POINT (-73.936419 40.82031199999984),,,,
400089,MALCOLM X BL/W 142 ST,40.818247,-73.938003,POINT (-73.937934 40.81821699999985),,,,POINT (-73.937934 40.81821699999985),,,,,,,,,,,,,,,,,,,,,,,POINT (-73.937934 40.81821699999985),,,,
400091,W 139 ST/MALCOLM X BL,40.816381,-73.938746,POINT (-73.938642 40.81652599999986),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400092,5 AV/W 138 ST,40.815202,-73.93598,POINT (-73.935867 40.81515499999983),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400093,5 AV/W 137 ST,40.813791,-73.937003,POINT (-73.93689599999999 40.81374599999985),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
